ServiceDateTime,Routes,RouteName,EarlyDeparture,OnTime,LateArrival,Missing,TimePointCount,OTP,AverageDwellTime,
7/27/2016,632,VALLEY FORGE,78,94,63,64,152,78.31,129.63,
7/28/2016,640,KNOLLCREEK,52,142,127,59,276,97.73,91.44,
7/29/2016,641,NACOGDOCHES,87,258,64,37,161,96.91,115.08,
7/30/2016,642,NORTH STAR / HARRY WURZBACH,90,47,77,50,126,93.42,130.65,
7/31/2016,647,NORTH STAR / STONE OAK PKWY.,86,645,72,47,812,93.48,86.64,
8/1/2016,648,DECO DISTRICT / CASTLE HILLS,57,554,173,48,658,88.2,116.37,
8/2/2016,651,NWVISTAS/UNIVESITY P&R,88,159,62,52,710,37.3,162.95,
8/3/2016,660,JBSA EXPRESS FT. SAM HOUSTON / USO,48,51,105,108,445,79.43,156.87,
8/4/2016,16,JBSA EXPRESS LACKLAND AFB/USO,59,358,9,110,176,84.19,82.32,
8/5/2016,65,VIVA CULTURE,54,233,164,43,63,91.27,125.23,
8/6/2016,11,PERRIN BEITEL SKIP,93,225,370,61,538,83.37,105.26,
8/7/2016,40,VIVA MISSIONS,66,490,2,113,332,90.34,155.18,
8/8/2016,999,GSA SHUTTLE,84,619,242,118,651,80.95,93.95,
8/9/2016,629,INDUSTRY PARK,92,316,207,115,129,66.54,51.7,
8/10/2016,631,RANDOLPH/KIRBY/SUNRISE,83,319,115,40,747,70.18,196.67,
8/11/2016,101,SUNRISE/SUMMERFEST,95,318,54,87,407,67.77,161.11,
8/12/2016,705,UTSA/LEON VALLEY BRT,91,323,22,102,403,75.27,156.34,
8/13/2016,712,MADLA SPECIAL,72,398,28,129,439,83.72,177.66,
8/14/2016,715,AIRPORT SPECIAL,65,298,182,62,458,77.64,214.36,
8/15/2016,,CROSSROADS SPECIAL,104,260,42,103,557,79.16,183.18,
8/16/2016,,ENCINO COURTESY VAN,165,467,184,53,368,89.07,211.45,
8/17/2016,,SOUTH ST.MARY''S,114,451,58,114,324,69.43,147.3,
8/18/2016,,,107,252,40,81,593,79.17,79.97,
8/19/2016,,,110,3,110,111,321,71.45,91.7,
8/20/2016,,,136,230,87,127,531,80.98,88.11,
8/21/2016,,,157,127,129,120,349,80.25,141.78,
8/22/2016,,,94,587,33,77,361,78.75,166.14,
8/23/2016,,,96,171,157,67,311,79.13,277.17,
8/24/2016,,,98,539,59,86,15,84.93,137.51,
8/25/2016,,,103,443,70,148,468,72.21,113.35,
8/26/2016,,,106,472,3,165,307,63.99,121.28,
8/27/2016,,,159,255,25,119,221,82.96,116.55,
8/28/2016,,,101,473,130,99,679,20.0,196.81,
8/29/2016,,,124,422,216,92,251,79.27,115.3,
8/30/2016,,,109,240,51,130,643,72.17,47.27,
8/31/2016,,,102,328,68,105,114,74.92,108.47,
9/1/2016,,,,232,246,124,635,57.47,185.78,
9/2/2016,,,,193,108,176,549,86.45,161.98,
9/3/2016,,,,208,29,125,213,68.13,123.44,
9/4/2016,,,,378,13,121,377,90.35,155.84,
9/5/2016,,,,362,162,116,485,69.76,173.37,
9/6/2016,,,,1020,44,106,296,85.97,148.72,
9/7/2016,,,,205,215,93,261,81.22,135.4,
9/8/2016,,,,211,149,79,206,67.64,154.51,
9/9/2016,,,,299,125,162,219,86.31,185.02,
9/10/2016,,,,373,208,89,437,87.01,150.86,
9/11/2016,,,,1040,181,80,1409,81.08,156.81,
9/12/2016,,,,278,104,101,271,77.73,81.09,
9/13/2016,,,,486,158,123,373,88.89,177.0,
9/14/2016,,,,530,0,82,1357,93.69,142.17,
9/15/2016,,,,433,84,160,711,94.98,223.76,
9/16/2016,,,,517,189,136,655,86.5,104.92,
9/17/2016,,,,197,90,135,645,67.54,92.53,
9/18/2016,,,,59,53,126,263,72.39,194.06,
9/19/2016,,,,188,116,95,187,75.65,144.03,
9/20/2016,,,,121,160,75,225,97.69,145.05,
9/21/2016,,,,77,331,94,104,80.16,160.26,
9/22/2016,,,,97,131,168,247,87.15,266.57,
9/23/2016,,,,107,194,468,110,76.64,228.69,
9/24/2016,,,,149,61,145,137,89.97,153.76,
