ServiceDate,Routes,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount,
7/22/2016,614,614-HIDDEN COVE,85.56,757,45,,449,160,1.57,68,
7/23/2016,615,615-HERITAGE PK.,326.35,356,656,,195,251,21.75,4,
7/24/2016,616,616-SKY HARBOUR,173.51,486,28,,300,43,9.44,7,
7/25/2016,617,617-RAINBOW HILLS,168.76,278,53,,147,73,5.47,365,
7/26/2016,618,618-WLAKES/ING.,128.9,367,1206,,231,80,7.49,158,
7/27/2016,619,619-INDIAN CREEK,166.54,429,151,,210,99,4.44,222,
7/28/2016,620,620-BRAUN./MED.,146.84,701,1327,,415,72,7.47,149,
7/29/2016,630,630-SUNRISE,283.91,1123,98,,650,3,13.8,13,
7/30/2016,632,632-WOODLAKE,447.88,162,231,,80,615,26.38,130,
7/31/2016,640,640-NACO PASS/ROLLING OAKS      ,84.44,167,25,,71,266,2.99,110,
8/1/2016,641,641-NACO PASS/ROLLING OAKS      ,77.15,321,111,,201,419,2.19,108,
8/2/2016,642,642-NACO PASS/SELMA             ,123.35,357,176,,227,326,6.5,296,
8/3/2016,647,647-TERRELL PLZ.,152.57,444,99,,266,44,8.25,26,
8/4/2016,648,648-HOLLYWOOD PK.,175.83,556,246,,282,235,5.9,315,
8/5/2016,651,651-CASTLE HILLS ,231.58,334,9,,134,253,10.32,168,
8/6/2016,660,660-UNIV P&R / NW VISTA,159.96,177,6,,1584,609,3.18,127,
8/7/2016,713,713-RANDOLPH BLVD PARK & RIDE,0.4,427,163,,1280,127,1.15,179,
8/8/2016,715,715-CROSSROADS PARK & RIDE,4.2,2798,76,,1537,590,98.05,93,
8/9/2016,900,900-CONTRACT,1151.64,1915,114,,907,328,73.01,190,
8/10/2016,16,16-Ft. Sam Express,461.73,2633,72,,177,152,50.68,138,
8/11/2016,65,65-LACKLAND/USO EXPRESS         ,770.44,1491,258,,29,285,21.61,112,
8/12/2016,0,nan,576.83,269,95,,739,186,4.66,40,
8/13/2016,98,11-NACOGDOCHES,57.27,52,46,,807,334,1.56,126,
8/14/2016,11,40-VIVA Mission,28.97,1176,256,,1664,183,22.35,188,
8/15/2016,40,705-MCCRELESS MALL,496.78,1160,3742,,604,171,18.71,242,
8/16/2016,705,629 - INDUSTRY PARK,422.4,1331,2572,,2487,327,15.08,186,
8/17/2016,629,631 - SUNRISE/SUMMERFEST,462.9,2738,23,,697,198,52.85,47,
8/18/2016,631,151-SCHOOL CHARTER,1096.95,964,92,,625,274,16.0,177,
8/19/2016,225,729-BLOSSOM ATHLETIC CENTER,202.43,3857,266,,859,226,44.52,200,
8/20/2016,703,750-SHUTTLE,1123.05,1280,22,,712,8,28.65,77,
8/21/2016,2499,101 - PRIMO LEON VALLEY/UTSA,572.87,984,229,,730,35,21.08,165,
8/22/2016,151,152-OTHER CHARTER,284.25,1426,710,,923,112,23.03,404,
8/23/2016,1,712-N CENTRAL PARK & RIDE,498.06,1370,14,,535,145,37.32,44,
8/24/2016,709,,414.05,1234,142,,467,96,18.68,74,
8/25/2016,729,,335.65,1595,170,,1096,382,34.04,531,
8/26/2016,750,,617.25,908,208,,525,27,17.62,105,
8/27/2016,101,,335.13,929,40,,658,373,14.28,299,
8/28/2016,152,,336.17,1821,171,,613,390,46.55,232,
8/29/2016,202,,637.62,882,193,,259,362,37.75,304,
8/30/2016,712,,357.46,1153,1713,,12,399,32.58,20,
8/31/2016,35,,531.0,1171,1210,,839,156,17.99,34,
9/1/2016,268,,445.1,1259,182,,92,36,21.53,67,
9/2/2016,277,,442.0,38,160,,407,58,16.53,72,
9/3/2016,282,,204.34,1344,1601,,448,440,1.13,36,
9/4/2016,288,,14.53,662,11,,609,321,22.9,25,
9/5/2016,628,,497.56,698,104,,309,783,5.8,27,
9/6/2016,700,,76.84,1095,66,,1339,172,16.19,19,
9/7/2016,777,,193.88,521,199,,109,40,19.13,32,
